    GeneID	GSM8021754	GSM8021757	GSM8021758	GSM8021759	GSM8021760	GSM8021761	GSM8021762	GSM8021764	GSM8021765	GSM8021767	GSM8021769	GSM8021772	GSM8021773	GSM8021774	GSM8021775
105378460	1.234	1.603	1.029	0.2439	9.723	3.156	0.2978	7.884	6.643	5.861	3.025	3.081	8.833	6.542	11.25
403	7.133	11.12	6.104	8.02	20.05	18.58	12.17	9.288	7.329	5.315	16.43	12.8	11.09	4.042	6.687
118980	1.858	5.313	4.612	6.739	3.109	3.978	2.007	2.026	0.6764	0.8901	2.361	2.69	1.656	0.8212	0.8124
54838	6.621	5.124	6.412	6.999	17.05	14.11	7.381	18.4	17.32	17.12	10	10.6	11.85	16.08	20.32
1586	0	0	0	1.97	0	2.132	0	0.5307	0.2105	0.1594	0.7253	0.1028	0.1827	0.3431	0.9986
102724307	0	0	0	0	0	5.697	0	0	0.1135	0	0	0	0	0.7928	2.936
107984264	0	0.09094	0	0.4565	0.09963	1.831	2.787	0	0.06709	0	0	0	0	0	0.4628
100528007	4.645	3.748	4.557	3.671	6.676	8.55	4.062	6.273	4.113	3.471	5.866	4.545	3.92	2.7	5.117
119032	12.99	19.52	16.89	18.39	24.81	20.94	24.38	18.65	20.15	13.99	13.96	9.39	9.916	11.22	17.31
57412	4.014	3.16	4.097	2.558	4.616	6.886	3.28	4.238	1.855	2.049	5.505	3.636	3.719	1.611	4.409
107984265	0.1002	0.3551	0.3688	1.485	0	0	2.539	0.08002	0	0.08813	0.4512	0	1.061	0.2439	0
54805	1.561	1.652	1.594	2.577	3.987	2.61	1.544	4.515	3.271	4.065	3.002	3.722	5.756	3.391	5.639
22978	2.66	3.71	3.062	5.064	14.91	7.567	4.987	17.51	13.7	17.18	8.022	10.34	16.35	14.76	23.08
729020	0	0.2638	0.07306	0.2943	0.04281	1.066	0	0.1982	0.2595	0.131	0.4097	0.08448	0.07505	0.2014	0.8204
9118	0.1952	0.3457	0.3111	3.085	1.795	1.148	2.354	0.1039	0.1889	0	2.709	1.55	0	0.1319	0.1955
84108	1.372	3.658	2.018	3.224	8.973	3.047	0.1711	9.024	11.18	7.069	8.764	6.479	7.078	5.064	11.65
6877	3.764	5.556	5.754	8.654	6.996	13.59	15.5	6.683	11.7	5.763	11.42	8.034	5.396	4.975	4.68
84833	225.9	213.9	243.4	316.6	196.1	415.4	477.7	186.7	413.7	204.1	333.4	190.6	166.4	194.8	197.2
100302174	1.419	11.73	9.4	25.24	23.87	30.48	2.568	34	56.88	47.43	27.69	30.8	50.42	62.18	57.57
22984	8.3	11.76	9.286	14.84	19.2	6.308	11	13.28	8.238	8.503	8.932	10.45	8.875	8.618	9.737
51063	0.1596	1.272	0.9099	0.8275	1.273	0.7954	5.63	0.3503	0.278	0.3858	1.377	0.7467	0.0603	0.5177	1.199
255022	0.346	0.2247	0.1018	2.256	0.2686	0	0	0	0.04019	0	0	0	0	0.02807	0.104
119395	0	0.189	0.1413	0	0.1656	0	2.548	0	0.03717	0	0.1441	0	0.3871	0	0.4808
102724341	0	0.1757	0.07299	2.94	0	0	0	0.0792	0.1152	0	0.3721	0.422	1.65	0	0.4471
9148	0.2228	0.1973	0.4406	3.054	0.1081	0.5127	0.9072	0.9784	0.4529	0.2082	0.4075	0.1185	0.1263	0.2598	0.7741
9644	2.213	1.29	1.486	2.214	8.144	7.583	6.174	15.15	8.762	14.45	3.882	5.964	12.98	13.88	12.43
100505839	1.673	0.6172	0.6154	0.9295	1.397	1.684	0	0.04173	0.1518	0.1379	3.49	1.334	2.292	1.527	2.984
79991	5.114	4.078	2.932	5.216	12.86	10.24	15.86	13.4	7.646	10.91	17.54	16.73	25.6	17.16	27.66
102724351	0.5678	0.2724	0.5744	0.7361	1.5	0.5988	0.2568	0.9349	1.113	0.2496	1.704	0.7246	1.663	1.468	1.013
9748	11.39	7.984	8.387	8.126	37.51	31.53	36.48	59	49.77	55.36	33.28	30.35	85.24	54.71	99.78
1308	20.16	2.125	7.002	12.73	56.1	134.3	64.37	227.9	302.6	381.9	51.06	40.64	35.49	260.5	147.7
100126326	1.079	1.274	0	0	75.38	38.07	15.62	196.4	199.9	447.8	15.38	28.46	50.57	253.8	98.88
119392	9.066	5.738	4.539	6.924	24.66	22.65	29.59	17.91	21.17	15.9	20.82	13.52	18.08	10.39	22.25
80217	0.09452	0.4624	0.2782	2.521	0.6404	1.015	7.378	0.2264	0.392	0.4274	0.7293	0.5399	1.388	0.1205	0.9128
693194	0	1.314	0	0	0	0	0	0	0	0	5.01	0	0	0	1.672
9446	221.4	169.7	182.1	222.7	220.5	440.8	267.3	301.9	554.9	432.1	212.9	136.7	127.5	102.3	171.5
119391	6.411	4.665	4.461	4.393	6.314	4.942	11.78	3.769	3.035	3.11	5.511	4.475	3.919	3.393	3.422
100616323	0	0	1.112	0	2.606	0	0	2.412	0.8773	10.63	0	0	0	2.451	0
85450	0.5316	0.8283	0.9018	3.195	2.458	1.201	2.138	2.476	0.6689	1.675	1.905	2.123	3.348	0.8505	1.131
101927472	0.9064	0.1784	0	1.791	0.1303	2.781	0	0.2412	0.4386	0	1.133	0	6.166	0	0
159686	0.1367	0.444	0.4276	0.6078	0.2506	1.809	2.041	0.232	0.2184	0.2104	0.5642	0.1891	0.5943	0.08319	0.6933
100505869	0	1.208	0.2869	0	0.1681	0	0	0.07781	0.1698	0	0.5118	0.5805	0.1473	0.07906	0.4393
101927523	0	0.1847	0.07673	2.163	0	3.519	0	0	0.3028	0	0.5477	0.3549	0	0	0
105378464	0	0.04955	0.247	1.244	0	3.218	0	0	0.1462	0	0.5667	0	1.015	0	0.1261
22986	0	0	0.09759	1.797	0.1961	0.7557	3.36	0.03025	0.154	0	0.5402	0	0.6874	0.06148	0.797
100505890	0	0	0	0	0	0.6268	0.2957	0	0	0	0.1839	0	0	0.1326	0.6138
105378465	0.08066	0.02381	0.08903	0	0	0.4949	0	0.0644	0.1405	0	0.3328	0	0.6706	0.1636	0.1818
105378466	0	0.1794	0	0	0.5241	7.924	0	0.7278	0	0	0	0	1.837	0	0
105378467	0	0	0.7272	5.858	0	0	0	0	0	0	0	0	10.46	0	0
107984266	0	2.091	0.7446	13.5	0	0	0	0	0	0	0	0	6.884	0	0
101927549	0	0	0.1529	0	0	0	0	0	0.3619	0	0	0	0	0.3371	0.3121
105378468	0	0.3836	0.5976	0	0	0	7.642	0	0	0	0	0	0	0	2.684
105378469	0.04034	0.1826	0.1385	0.2391	0.0116	0.2475	0.04866	0	0.03904	0.01182	0.1009	0	0.3659	0	0.2222
105378470	0	0.3528	0.2587	3.334	0	2.265	2.417	0	0.08166	0	0.3165	0	2.019	0	0.6338
102724439	0	0.8901	0	0	0	0	0	0	0	0	0	0	0	0	0
105378472	0	0	0.7074	0	0	0	4.349	0	0	0	0	0	6.54	0	2.166
114815	0.03055	0.07816	0.1648	2.867	0	1.734	0.258	0	0.1005	0.02686	0.4278	0.06065	0.4772	0.01652	0.9638
105378473	0	0.1484	0.06164	3.062	0	0	3.638	0	0.04865	0.1473	0.2514	0.04752	0.4643	0	0
105378475	0	0.2744	0	7.576	0	0	14.3	0	0.135	0	2.092	0.5932	0.7027	0	0
105378474	0	1.053	0	3.171	0	3.83	9.68	0	0	0	0	0	0	0	0
101927573	0	0.3987	0.3975	6.004	0.3494	6.422	17.11	0.1078	0	0	0	0	2.654	0	2.029
103695365	0	0	0	9.128	0	0	0	0	0.2555	0	0.5502	0	0.2217	0	1.763
105378476	0.0688	0.1625	0.2531	4.893	0	0	4.482	0	0	0	0.2581	0.2342	0	0.05581	0.1034
105378477	0	0.2875	0.1791	0	0.21	0	0	0	0.1885	0.07136	0.3653	0	1.104	0	0.3658
105378478	0	0	1.461	2.943	0	0	0	0.3963	0	0	0	0	0	0	0
107984182	0	0	0.2585	0	0.606	0	0	0	0.8161	0	0	0	6.904	0	0
7511	45.08	39.27	48.2	41.29	70.83	61.83	50.66	91.21	75	88.15	73.34	72.27	62.76	77.79	85.79
100505933	1.57	1.415	0.5471	2.448	3.135	1.394	2.392	8.904	4.51	7.555	1.983	3.796	8.617	5.764	6.702
120	14.14	10.91	10.34	14.82	64.95	43.92	51.38	116.1	95.33	114.3	53.26	44.94	108.4	87.22	135.7
105378479	0	0.03777	0.6119	0.7583	0.2207	2.257	0	0.7661	0.5201	0.7312	0.336	0	0	0.519	1.153
4601	20.78	7.051	5.649	3.914	39.37	53.52	25.19	96.09	124.6	114.3	35.26	26.83	161.7	111.3	118.6
105378480	0.5031	0.2446	0.5662	1.228	0	0	0.2142	0.189	0.6359	0.3383	0.1554	0.277	1.432	0.04802	0.3557
10285	4.277	4.982	4.276	5.925	13.83	12.05	8.58	22.03	25.73	19.62	14.46	10.32	22.17	18.46	22.18
105378482	0.2634	0.7775	1.26	1.951	0	2.222	11.91	0	0	0	1.087	0	4.38	0	0.9892
105378481	0	0	0.06093	0	0	0.5081	0	0.06611	0.1924	0	0	0	1.001	0.06718	1.12
1847	25.79	9.704	28.84	56.17	18.63	40.01	41.56	73.07	169.3	141.7	13.32	23.61	189.8	152.3	118.3
105378483	0.6348	0.1499	0.09341	3.01	0.219	0	0	0	0	0	0	0	0	0	0
9126	36.08	41.69	48.37	36.73	58.68	65.52	58.82	67.83	76.34	53.73	44.99	38.16	54.78	37.74	57.8
282996	0.0844	0.1694	0.3478	1.801	0.05823	0.5049	1.863	0.03369	0.02941	0.05937	0.2279	0.03591	0.4083	0.08901	0.317
112268066	0.03977	0.01174	0.01463	0.1768	0.008573	0.8997	0	0.06349	0.03464	0	0.179	0	0	0.04839	0.4929
282997	1.469	3.842	2.008	5.443	0.8147	3.059	0	0.3771	0.5181	1.107	0	1.161	2.618	0.7663	1.892
27250	24.05	19.58	18.1	31.44	66.78	83.17	58.16	109.3	102.6	96.1	40.25	36.74	48.46	75.04	88.07
100616113	51.27	50.14	54.23	37.99	110.5	135.2	86.97	207.2	196.3	219.8	91.35	81.8	140.5	174.2	257.6
92482	12.17	10.51	9.805	14.65	18.46	21.23	19.44	18.98	17.22	16.37	17.12	15.14	15.99	13.46	20.99
8036	8.351	7.411	8.847	13.64	20.8	18.56	24.94	39.12	44.68	42.16	17.27	15.86	33.54	35.48	44.67
644511	0.1619	0.9561	0.3575	0	1.117	7.452	4.688	1.551	1.505	0.9967	0.8504	0.5512	1.958	1.182	2.433
100313921	0	0	0.8842	0	0	0	0	0	0	0	0	0	0	0	0
150	5.016	1.014	0.2808	2.424	5.783	1.171	0.4933	0.4135	0.2375	0.1678	29.02	26.84	12.69	14.62	18.47
113633881	0.2374	0.2102	0	0	0	0	0	0	0.2068	0	0.3562	0	0	0	0.8915
105378484	0	0	0	0	0	0	0	0	0.2335	0	0	0	0	0	0.604
105378485	0.07418	0.1533	0.08187	5.056	0	0.7965	0	0	0	0	0.3061	0	0.05607	0.03009	0.1672
105378486	0	0	0	0	0	0	0	0	0.03652	0	0.4718	0	0.8081	0	0.04724
107984268	0	0.04292	0.08024	2.909	0.1881	0.9479	0	0	0.1056	0	0.05454	0	0.6045	0	0.3823
57678	2.071	3.685	2.086	3.007	5.838	3.177	3.42	3.973	5.013	3.19	3.431	2.827	3.656	2.244	4.427
101927600	0	0	0.3597	1.931	0	0	0	0	0.1892	0	0	0	2.463	0.5287	0
6975	0	0.1292	0.161	2.269	0	0	1.715	0	0.1059	0	0.3283	0	1.764	0	0.2191
102466189	1.339	0	0	7.934	0	0	0	0	0	0	0	0	0	0	0
102465427	1.373	0	0	8.14	0	0	0	0	0	0	0	0	0	0	0
390003	0	0.2309	0.2093	2.424	0	0.4363	2.187	0.1987	0.3097	0	0.5869	0.06051	0.7525	0.2019	0.6944
51703	70.72	23.24	77.66	83.52	147.7	392.2	188.4	226.8	449.5	347.2	244.6	189.3	171.9	294.5	268
64429	10.34	10.72	14.39	11.19	22.77	36.57	17.67	29.62	48.86	36.01	27.66	26.26	27.6	32.89	35.6
143187	1.912	3.058	3.304	4.809	4.265	3.955	2.936	3.043	3.659	3.665	4.244	4.303	3.763	3.462	4.424
100422909	8.709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378487	0.2282	0.539	0.4478	0	0.2624	0	1.101	0	0.2209	0.2676	0.3995	0	0.23	0	0
112268058	0.606	1.252	0.8082	0.7857	1.176	1.22	0	0.6047	0.6818	0.6661	0.4262	0.8379	1.66	0.4301	1.593
103344931	0.7737	1.532	0.8998	3.55	2.992	1.11	4.967	1.016	1.058	2.063	1.517	1.38	0.1509	1.316	3.15
107984158	0	0.3228	0.3621	0	0	0	0	0.131	0.127	0	0.1641	0.04652	0	0.3105	0.575
6934	23.04	7.12	8.227	13.55	26.16	39.85	23.48	39.8	44.76	47.42	29.39	24.77	76.85	48.77	64.22
106635520	0	0.5625	0	0	0	0	0	0	0	0	2.144	0	0	1.159	0
105378489	0.1353	0.6659	0	0	0	0.5536	0	0	0.0524	0	0.4061	0	0	0	0.6777
105378490	0.02092	0.1729	0.2001	0.8679	0	0	0	0	0	0	0.1099	0.1602	0	0	0.5657
107984269	0.05864	0.1316	0.1122	1.182	0.02023	1.619	2.037	0.01873	0.0681	0.03094	0.1056	0.08981	0.6382	0.009513	0.1938
107984270	0.09196	0.2579	0.1522	2.521	0	1.199	0.9983	0	0.1202	0	0.2932	0.07824	0.417	0	0.1727
3026	0	0.2004	0.1498	1.408	0.1463	1.353	2.456	0.02709	0.05912	0	0.6365	0.4043	2.155	0.2478	0.4079
4892	0.01873	0.5972	0.2343	1.61	0.03231	2.04	1.288	0.02991	0.06527	0	0.4778	0.09563	0.8212	0.0152	1.069
840	6.787	3.767	8.217	7.773	10.24	16.26	8.415	40.99	50.36	41.99	8.763	10.17	24.07	50.4	53.86
79949	2.957	0.9108	2.986	6.096	1.093	4.958	2.924	6.48	9.023	10.5	3.899	8.673	4.914	6.942	6.925
100616162	0	0	0	0	0	0	0	0	0	0	0	0	2.578	0	2.562
9937	0.906	2.407	2.6	7.585	7.442	4.204	7.049	8.516	3.144	5.238	5.114	5.55	7.293	4.373	6.022
107984271	0	0.2338	1.311	0	0.3416	0	11.47	0	0	0	0	0	0	0	0.2975
374354	1.639	1.846	1.893	2.627	6.312	5.277	5.242	10.19	7.09	11.45	5.698	4.971	12.02	7.422	11.5
105378492	0	1.259	0	2.527	0	0	0	0	0.1238	0	0	0	4.19	0	0
105378493	0	0.3335	0.665	0	0.09743	0	3.68	0	0	0	0.5933	0.2884	0	0	0.8486
153	0.4176	0.5752	0.6145	1.856	1.65	1.975	3.4	2.889	2.849	3.304	1.07	1.569	1.525	1.609	2.771
55088	6.033	4.563	4.819	4.062	10.77	8.496	10.85	28	33.34	26.39	5.9	5.926	28.53	23.74	29.8
100302224	0	2.497	0	0	18.24	0	0	32.64	25.38	34.71	4.231	12	34.1	32.03	19.06
56165	0.1254	0.2683	0.1499	2.229	0.02703	0	6.35	0.01251	0.1547	0	0.2116	0.2266	0.9001	0.1017	0.306
340706	2.567	1.005	0.5924	2.656	2.712	1.701	2.144	3.25	1.112	1.563	1.151	1.215	4.524	2.181	2.442
84632	0.7073	0.8464	0.2532	0.5098	0.577	0.7037	4.635	0.5036	0.3219	0.2521	0.9321	0.6994	1.243	1.334	1.867
105378494	0.1293	0.229	0.3329	0	0	0	1.17	0	0.07507	0	0.3879	0	0	0	0
3983	7.39	5.963	5.647	6.801	16.39	6.691	9.159	13.77	9.296	12.59	10.65	14.02	20.9	18.79	20.98
101927692	0.04447	0.105	0.6871	3.163	0.1917	0.4093	3.862	0.1065	0.02582	0	0.2335	0.1135	0	0.1082	0.06681
57700	0.7607	1.327	1.234	5.379	4.443	5.25	8.195	9.178	11.1	12.21	3.372	4.001	5.514	8.877	11.71
142940	3.384	3.519	3.312	4.508	25.52	21.48	11.8	20.25	17.16	17.85	16.68	11.52	22.81	13.88	29.15
102724589	1.537	1.089	0.9048	5.466	1.326	0	0	0	0.7141	0.8109	1.384	0	3.253	0	1.847
107984272	0	1.397	0.3481	0	0	0	20.55	0	0	0	0.5324	0	0	0	1.777
105378496	0.2885	0.6814	0	0	0	0	12.01	0	0.3351	0	0	0	7.851	0	0
26033	0.1431	0.1217	0.195	1.496	0.07983	0.4453	1.584	0.02351	0.09285	0	0.1263	0.0358	0.5597	0.04096	0.4488
105378497	0	0.07402	0.2504	2.123	0.01545	0.8242	0.7778	0	0.04161	0	0.02687	0.04572	0.4332	0	0.9687
2674	0.1355	0.07998	0.161	2.007	0.02696	0.5275	2.677	0.02496	0.1271	0	0.1798	0	0.4883	0.008453	0.6575
109623470	0	0	0	43.23	0	0	0	0	0	0	0	0	0	0	0
107984273	0	0	0.02697	0	0.03161	0	4.112	0	0.06386	0	0.165	0.1871	0	0	0.4405
374355	0.1822	0.2689	0.2011	3.104	0.1178	0	2.966	0	0.1322	0.2002	0.06833	0.155	0	0	0.2737
119548	0.04134	0.5126	0.2433	5.146	0	1.966	2.094	0.06601	0.12	0	0.6823	0.1055	0.9999	0.1677	0.8695
5406	0	0.5052	0.5247	1.057	0.246	4.156	2.838	0	0.3727	0	0	0	1.509	0	1.928
5407	0	0.2883	0.7186	2.894	0.3275	1.165	3.731	0.3032	0.4726	0.04771	1.14	0.277	1.312	0.2201	0
5408	5.851	5.519	21.11	22.2	0.6769	6.02	4.648	1.652	1.823	1.506	1.445	1.154	2.912	5.441	6.432
143379	0.6679	1.341	0.9501	1.056	4.416	0.9562	3.545	1.031	0.3103	0.6264	1.871	2.841	3.231	0.6863	1.137
105378499	0.6448	1.447	0.6642	0	3.67	1.187	8.867	1.853	0.4493	2.268	3.773	1.536	2.144	0.8369	1.55
259217	1.118	1.505	1.078	1.922	5.671	1.664	4.33	2.286	1.779	1.691	6.359	3.635	2.942	1.842	2.436
105378498	0	0.03213	0	0	0.3285	0	1.576	0.04345	0	0	0	0	1.234	0.04415	0.7359
113218494	0	3.854	7.685	0	4.504	0	0	0	0	0	0	6.665	0	5.295	0
387712	2.108	3.489	3.366	4.087	3.791	4.145	9.535	2.148	2.233	2.021	1.455	1.66	1.559	0.7004	1.819
